מנוע	מהלכים-בריצה	בקובץ-הדגימה
op-census.display	364	20
op-census.forge	359	20
tzinor.soleClassOf	238	20
hamtzaa.sourceOf	196	20
purpose.goalPsak	179	20
quarry-golden	70	20
box-coverage	60	20
auto-logic	58	20
peruk.section	42	20
cover	41	20
cover.coverLogic	31	20
particles.firstWired	30	20
peruk.disclaimer	28	20
auto-skin	27	20
atlas.shelf	16	16
widget-dedup	16	16
ops-particles	11	11
match.matchClass	10	10
dedup.load	7	7
cross-source	4	4
hamtzaa.tokenSource	4	4
synth	4	4
empire-coverage	3	3
match.best	2	2
search-score	2	2
logic-proof.proveCandidates	2	2
logic-census	2	2
atom-index	2	2
search-proof-check	1	1
capability.pickAtom	1	1
capability.emitApp	1	1
intent	1	1
retrieve-screen	1	1
engine-index.find	1	1
purpose.demandsOf	1	1
screen-decomp	1	1
carve-land.purposeOf	1	1
dedup-atoms	1	1
dedup-cross	1	1
dedup-cross-dart	1	1
census	1	1
atom-census	1	1
oracle.dup	1	1
import-graph	1	1
